Class,Function,Clone type,Settings,AntiCopyPaster v1.0 clone detection?,AntiCopyPaster v3.0 clone detection?,Link to video v1.0,Link to video v3.0
class: DrawApplet,createAttributeChoices,Type 1(a),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ERj4FwHJF5VHvHs8lUT_QaIBPKhJXL8ubu7qMmuYI0m9Gg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=SfzzXe,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EW4wLx8daxhEuMwRUMf08rUBUWKlsJtWA-vIQeNXwAQQzg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=UZTxNv
Class: FigureAttributeConstant,addConstant,Type 1(a),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ERBacuDDBXdFhzRyH3HOzNsBHjIgGWWWNoUMCBucdu90Zg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=LZomcg,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EULCmoH3s0NHk6ychBE9BbUBlQx5X2IB8gLRFT_nZzsgsQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=1Up4aO
class: DrawApplet,init,Type 1(a),Al model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EYvo32NGLDhGg6zWuDWdw-cBtmrzPRFro6WUIRSOyMzF5Q?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=TbRuLo,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EZAl_CY5jFdPrfq7BIREI6AB40U8bihHTd9FzuCiLjIyyA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=usdDzT
class: NothingApplet,createTools,Type 1(a),Al model,No,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/Ec-uViXQUU1EmrGmtoXrUh0B1aVsgkRW0fcE-W-5kLEibg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=zqaqzE,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EXEWklrmamFOoJ4AZ2hmXu4Bxe-oWwuu-3U2nd6p6yTXzw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=ZutgnP
class: CompositeFigureCreationTool,mouseDown,Type 1(b),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EWzLjEV6JqtPocsn2-E_wTcBlC5nLfUXr_iS0nW0UIZpfg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=FN2eG5,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EbaPkqA_kcFBtd3oDQdjsNoBv9OUZgSCWB8LcQG0zoRNHw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=IjRASd
class: ChopDiamondConnector,chop,Type 1(b),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/Efh6UKJfs9dFs4Gr6XZGq8UByXwoZcjRF5jubbdT9zYXyQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=r2Lr1z,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EcVVuGXH735Pm84BQ1Hv3tcBj-8bLn9qwpuOQFTbhAGl4A?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=C1QyVE
class: MiniMapDesktop,createLeftComponent,Type 1(b),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EVFybDb902RJlfE0km-ecG8BMYI8R3eZB_mCfYZSrIox5Q?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=m9M72N,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EejFu9ozlCNCtuMyBeblZgkB3OnRkRC481-QCVY1uLe9SA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=Ul5Qkf
class: Animator,run,Type 1(b),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EdtloKfGK3BOkxvAqwRsUz0Bxs2pDoN0ILFtxybBLbVPhw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=fz3AbW,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/ER8w-SEvlkxGmOwlBaMoJooBGowdrx0jFEelHNPVmZ0PXQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=MvtOj5
class: CTXWindowMenu,buildChildMenus,Type 1(c),Al model,No,Yes,buildChildMenus.mkv,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EXChOZQc0GJLl1_QwznNyuIB50PayiaJJywsevvQdI86Mg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=0geSep
class: ColorMap,colorIndex,Type 1(c),Al model,Yes,Yes,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EUAwQE3PBpBPpc2LCGU2jF8BsottFJly263_gPwAJTVaaA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=ogQspM,https://stevens0-my.sharepoint.com/:v:/g/personal/ealomar_stevens_edu/EcvcvSlFZWlEh5Na8JNUWm8BDXU2Cp0ltE9YHhtvWZupdQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=4uYMc6
